run_name,source_h5,ndims,num_frames,samples_n,rep,gamma,epochs,batch_size,theta_test_deg,theta_train_deg,omega_test_rmse,omega_train_rmse,kinetic_test_rmse,kinetic_train_rmse,pot_test_rmse,pot_train_rmse,final_test_mi,final_train_mi
dz2_numF2_sN1000_rep1,results_batch_size_1024.h5,2,2,1000,1,0.01,300,1024,2.542644500732422,2.6343274116516113,1.4499337214087655,1.5080971191552275,0.3772110723542607,0.4055666670300273,0.09728667900763904,0.10268043443860375,5.245573997497559,5.367473602294922
dz2_numF2_sN1000_rep2,results_batch_size_1024.h5,2,2,1000,2,0.01,300,1024,0.4898723363876343,0.5269864201545715,0.25874892589327725,0.2348145823043052,0.12674931525622918,0.13362839173164986,0.011453197671248572,0.01281759435655902,6.3913726806640625,6.301148414611816
dz2_numF2_sN1000_rep3,results_batch_size_1024.h5,2,2,1000,3,0.01,300,1024,0.6014863848686218,0.6454578042030334,1.5096155168494951,1.587950195766273,0.4396866411093624,0.4591830161456678,0.01944707074900505,0.023204513371594883,5.52272891998291,5.609511852264404
dz2_numF2_sN1000_rep4,results_batch_size_1024.h5,2,2,1000,4,0.01,300,1024,0.4152463972568512,0.4480744004249573,0.23481427194862411,0.22545112938562953,0.11642308865437948,0.12015262875908023,0.016044513304808505,0.01948809445395909,6.317835807800293,5.394340991973877
dz2_numF2_sN1000_rep5,results_batch_size_1024.h5,2,2,1000,5,0.01,300,1024,1.024855136871338,0.9510262608528137,0.2534015187122761,0.2572519096589598,0.18333432963129465,0.1694327329281596,0.017154002668782375,0.025497950691756886,5.993005752563477,5.824484825134277
dz2_numF2_sN128_rep1,results_batch_size_1024.h5,2,2,128,1,0.01,300,1024,2.6495821475982666,2.596911668777466,2.9507501327332335,3.1285275576589338,0.9698307407810164,0.9826207841213267,0.08016321848161144,0.08119330775268989,2.6378824710845947,2.889383554458618
dz2_numF2_sN128_rep2,results_batch_size_1024.h5,2,2,128,2,0.01,300,1024,9.395271301269531,8.265807151794434,2.038412173106676,2.139696671722665,0.773409794783242,0.7389294412812812,0.20754632215908003,0.1900958184990491,2.742835521697998,3.26300048828125
dz2_numF2_sN128_rep3,results_batch_size_1024.h5,2,2,128,3,0.01,300,1024,8.15261173248291,7.433980464935303,2.896362878330965,3.1076162914020453,0.9758633056053287,1.0215367582759,0.16977094107395968,0.14929489723991068,3.022315263748169,3.2076990604400635
dz2_numF2_sN128_rep4,results_batch_size_1024.h5,2,2,128,4,0.01,300,1024,22.294103622436523,21.139328002929688,3.468194728087804,3.6376386026147975,0.7937285067434234,0.8296437551888136,0.8065298156737352,0.7699957234941972,3.1466498374938965,3.4129908084869385
dz2_numF2_sN128_rep5,results_batch_size_1024.h5,2,2,128,5,0.01,300,1024,2.918724536895752,3.0923714637756348,1.5322367544424813,1.4630019549189222,0.44753050977178077,0.49364144099087826,0.04620051657051305,0.05671238515496397,3.2422542572021484,3.495840311050415
dz2_numF2_sN16_rep1,results_batch_size_1024.h5,2,2,16,1,0.01,300,1024,4.055712699890137,3.6554439067840576,7.031539436317087,5.9838490865108485,2.0004078925947506,1.3510578955521444,0.14149421042638655,0.13339019403637137,1.6026759147644043,2.0843899250030518
dz2_numF2_sN16_rep2,results_batch_size_1024.h5,2,2,16,2,0.01,300,1024,4.178194999694824,3.499248743057251,7.014942025497699,5.80855828629053,1.9946256789294576,1.312554040432075,0.15953042291656616,0.1405664295505527,1.6214852333068848,2.1091833114624023
dz2_numF2_sN16_rep3,results_batch_size_1024.h5,2,2,16,3,0.01,300,1024,22.226282119750977,20.36642837524414,6.924951700531023,5.901108860622053,2.0309658145178098,1.4173756769953967,0.18584254949928283,0.17334748372179107,1.5092675685882568,2.036869764328003
dz2_numF2_sN16_rep4,results_batch_size_1024.h5,2,2,16,4,0.01,300,1024,15.081964492797852,15.662639617919922,6.861070149754593,5.995344263012029,1.9808503334472463,1.4724661706947064,0.6304703921612196,0.5837380900995749,1.5814731121063232,2.029668092727661
dz2_numF2_sN16_rep5,results_batch_size_1024.h5,2,2,16,5,0.01,300,1024,4.83102560043335,4.176634788513184,7.000924185643278,5.827082891081202,1.9914995987968607,1.3284982493385091,0.21544689998532224,0.18517359278133763,1.6147032976150513,2.0995378494262695
dz2_numF2_sN256_rep1,results_batch_size_1024.h5,2,2,256,1,0.01,300,1024,12.84385871887207,13.305509567260742,2.491179546426098,2.6179062193336704,0.71048059558075,0.7755767522002363,0.47504701569923397,0.4980006307437712,3.8224260807037354,3.99521803855896
dz2_numF2_sN256_rep2,results_batch_size_1024.h5,2,2,256,2,0.01,300,1024,4.176718235015869,6.103331565856934,1.288219060374163,1.4259099001738498,0.35591485253710314,0.39758965284950987,0.09144575862783845,0.1187846058847165,3.8178420066833496,4.2163777351379395
dz2_numF2_sN256_rep3,results_batch_size_1024.h5,2,2,256,3,0.01,300,1024,1.9851268529891968,2.139126777648926,2.3748256217786183,2.5796286527135797,0.6046017499739382,0.6426875120857483,0.053702492483507974,0.058663633580878685,4.219398021697998,4.430080890655518
dz2_numF2_sN256_rep4,results_batch_size_1024.h5,2,2,256,4,0.01,300,1024,1.275607943534851,1.2023565769195557,0.38439724322832963,0.3885028286188187,0.23379180192736684,0.2308005858912764,0.01565956598774214,0.015739683086820815,4.531914710998535,4.678588390350342
dz2_numF2_sN256_rep5,results_batch_size_1024.h5,2,2,256,5,0.01,300,1024,1.457271695137024,1.6819431781768799,1.6766865025832784,1.769225728969773,0.452055705305943,0.530137342360746,0.051788372788330164,0.057094331886395226,3.3509583473205566,3.4173424243927
dz2_numF2_sN2_rep1,results_batch_size_1024.h5,2,2,2,1,0.01,300,1024,80.17339324951172,32.44459915161133,6.231607152561643,4.816726612039234,1.7733603305243526,0.8275797866549646,1.726065378557631,1.1093154139030468,-12.770126342773438,3.079646110534668
